event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KGZ2167,22/07/2024,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Kyrgyzstan),Labor Group (Kazakhstan),Protesters,Police Forces of Kyrgyzstan (2021-),,State forces,State forces-Protesters,,417,Caucasus and Central Asia,Kyrgyzstan,Osh City,Osh City,,Osh,40.5295,72.8064,1,RFE/RL,International,"On 22 July 2024, police detained about 4 small retail shop owners outside the city administration in Osh city after hundreds of small business owners gathered outside the Mayor's office in protest of the announced relocation of the city main bazaar to a new location.",0,crowd size=hundreds,1753970978
KGZ2168,20/07/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),Labor Group (Kyrgyzstan),Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Osh City,Osh City,,Osh,40.5295,72.8064,1,RFE/RL,International,"On 20 July 2024, about 50 small retail shop owners protested near the Mayoor's office in Osh city against relocation of the city's main bazaar market to a new location demanding that the authorities allow small businesses to operate at the same location for two more months.",0,crowd size=about 50,1722376566
KGZ2169,20/07/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Osh,Ozgon,,Uzgen,40.7716,73.2973,2,Youtube,New media,"On 20 July 2024, residents of Ozgon district in Osh region gathered by collapsed road to Kara-Shoro locality near Uzgen township in protest of lack of access to Kara-Shoro due to destroyed road after flash flood weeks earlier calling for the authorities to fix the road.",0,crowd size=no report,1722376566
KGZ2171,25/07/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Talas,Talas,,Kozuchak,42.4388,72.2775,1,AKIpress,National,"On 25 July 2024, residents of Kozuchak village in Talas district of Talas region gathered near their homes in protest of lack of access to drinking water and inconvenient installation of power grid line in the area calling for the authorities to resolve their concerns.",0,crowd size=no report,1722974440
KGZ1249,09/09/2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Mykan,42.937,74.6546,2,24Kg,National,"On 9 September 2021, residents of Sadovoe, GES-3 and Uchkhoz villages gathered near the local chicken farm near the village of Mykan in Alamudun district of Chui region demanding that the authorities address their concerns regarding public health and environmental pollution concerns in the area due to farm's proximity to the villages.",0,crowd size=no report,1776186858
KGZ1253,10/09/2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Mykan,42.937,74.6546,2,NTS Kg,National,"On 10 September 2021, residents of Sadovoe and Uchkhoz villages protested outside the local chicken farm near the village of Mykan in Alamudun district of Chui region demanding that the authorities shut it down due to environmental pollution concerns following complaints regarding chicken farm's negative impact on public health.",0,crowd size=no report,1776186858
KGZ1307,31/10/2021,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Vostok,42.9045,74.6728,1,24Kg,National,"On 31 October 2021, residents of Vostok village in Alamudun district of Chui region gathered near their homes in protest of private passenger minibus fare hike in the area demanding that the authorities resolve the issue with bus fare hike and dedicate a municipal bus line for the village.",0,crowd size=no report,1724787145
KGZ1524,19/04/2022,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Mykan,42.937,74.6546,2,Kaktus Media,National,"On 19 April 2022, residents of Leninskoye village near Mykan township in Alamudun district of Chui region physically blocked the main road with chairs demanding that the authorities refrain from legalizing illegally seized land properties in the area and calling for the Kyrgyz government to resolve the dispute.",0,crowd size=no report,1724787145
KGZ2043,02/02/2024,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Vostok,42.9045,74.6728,2,AKIpress,National,"On 2 February 2024, private homeowners gathered outside their properties in the village of Salkyn-Ordo near Vostok township in Alamudun district of Chui region in protest of delays with legalization of their land properties and the local authorities' failure to provide land property ownership documents calling for the country's president to resolve their grievances.",0,crowd size=no report,1724787146
KGZ2113,18/05/2024,2024,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Civilians (India),Civilians (Bangladesh); Civilians (Pakistan); Labor Group (Bangladesh); Labor Group (India); Labor Group (Pakistan),Civilians,Rioters-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Chui,Alamudun,,Vostok,42.9045,74.6728,2,24Kg,National,"On 18 May 2024, 60-70 male individuals physically assaulted citizens of India, Bangladesh and Pakistan at the sewing factory belonging to the A-S-T company in Alamudun township near Vostok village of Chui region resulting in 14 foreign nationals sustaining injuries and 4 requiring medical treatment. They also destroyed the workers' personal property as well as factory property. Police detained suspects in assault case charging detainees with Mass disorder offences.",0,crowd size=60-70,1724787146
