event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,event_month
KGZ1581,2022-06-07,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,1,RFE/RL,International,"On 7 June 2022, about 50 supporters of two detained local officials from Leylek district protested near the regional court in Batken township demanding their release from pre-trial detention and justice in their cases.",0,crowd size=about 50,1655227262,2022-06-01
KGZ1607,2022-06-24,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Chon-Gara,40.2603,71.0094,1,RFE/RL,International,"On 24 June 2022, about 50 residents of Chon-Gara village in Batken district of Batken region gathered near their homes in support of imprisoned former president Almazbek Atambayev calling for incumbent head of the state to release him from prison.",0,crowd size=about 50,1656435888,2022-06-01
KGZ332,2020-01-09,2020,1,Political violence,Riots,Mob violence,Rioters (Kyrgyzstan),,Rioters,Civilians (Tajikistan),,Civilians,Rioters-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Kok-Tash,39.9507,70.549,2,Asiaplus; Kaktus Media,National,"On 9 January 2020, it was reported by Tajik authorities that some citizens of Kyrgyzstan attacked a citizen of Tajikistan, and broke a mirror of his car with a stone, in Jaka Oruk area, near the Tajik-Kyrgyz border close to the Kok-Tash village, Batken region .",0,crowd size=no report,1658253393,2020-01-01
KGZ1643,2022-08-10,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Kadamjay,,Kadamjai,40.128,71.7208,2,AKIpress,National,"On 10 August 2022, residents of Eshme village in Kadamjay district of Batken region gathered on the disputed land near the town of Kadamjai in protest of a looming construction of the market facility on 13 hectares of prime land demanding that the authorities cancel the project.",0,crowd size=no report,1660674707,2022-08-01
KGZ1645,2022-08-12,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Kyrgyzstan),,Protesters,,,,Protesters only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Kyzyl-Kiya,,Kyzyl-Kia,40.2552,72.135,2,Sanjar Kalmatai,New media,"On 12 August 2022, residents of the local village gathered outside their homes near the town of Kyzyl-Kia in Kyzyl-Kiya district of Batken region in protest of nearby Chinese investor operated cement plant due to air pollution calling for the country's authorities to shut down the plant.",0,crowd size=no report,1776186858,2022-08-01
KGZ1650,2022-08-20,2022,1,Political violence,Violence against civilians,Attack,Police Forces of Kyrgyzstan (2021-),,State forces,Civilians (Kyrgyzstan),Prisoners (Kyrgyzstan),Civilians,State forces-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,1,ACCA,Regional,"On 20 August 2022, police officers detained and tortured a male resident of the Batken region at the police department in Batken township following which the victim filed a report with the Kyrgyz human rights group.",0,,1754410220,2022-08-01
KGZ1651,2022-08-25,2022,2,Political violence,Violence against civilians,Attack,Police Forces of Kyrgyzstan (2021-),,State forces,Civilians (Kyrgyzstan),Prisoners (Kyrgyzstan),Civilians,State forces-Civilians,Civilian targeting,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Leylek,,Leilek,39.8773,70.0911,1,ACCA,Regional,"Around 25 August 2022, police officers assaulted and tortured a male detainee to extract a forced confession at the Leylek district police station in the town of Leilek in the Batken region resulting in physical injuries after which the victim filed a report with the prosecutor's office.",0,,1754410220,2022-08-01
KGZ1669,2022-09-14,2022,1,Political violence,Battles,Armed clash,Police Forces of Kyrgyzstan (2021-) Kyrgyz Frontier Force,,State forces,Military Forces of Tajikistan (1994-) Border Service,,External/Other forces,State forces-External/Other forces,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Ak-Sai,39.8789,70.5192,2,AKIpress; RFE/RL,National-International,"On 14 September 2022, firefight broke out between Tajik and Kyrgyz border guards on the disputed border in Bulak-Bashi locality near Ak-Sai village of Batken district in Batken region during which Tajik servicemen fired mortar rounds on Kyrgyz bordermen. Kyrgyz Border Service confirmed that 2 Kyrgyz border guards and 3 local villagers were wounded.",0,,1753954518,2022-09-01
KGZ1675,2022-09-16,2022,1,Strategic developments,Strategic developments,Other,Civilians (Kyrgyzstan),Refugees/IDPs (Kyrgyzstan),Civilians,,,,Civilians only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Batken,,Batken,40.0639,70.8247,2,24Kg; RFE/RL,National-International,"Displacement: On 16 September 2022, Kyrgyz authorities evacuated about 136.000 residents of Leylek and Batken districts away from the fighting areas on the disputed border to the towns of Ravat, Sulukta, Kadamjay and other villages in the Batken region following border shooting between Kyrgyz and Tajik troops.",0,,1663703412,2022-09-01
KGZ1684,2022-09-16,2022,1,Strategic developments,Strategic developments,Other,Civilians (Kyrgyzstan),Refugees/IDPs (Kyrgyzstan),Civilians,,,,Civilians only,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Leylek,,Leilek,39.8773,70.0911,2,24Kg; RFE/RL,National-International,"Displacement: On 16 September 2022, Kyrgyz authorities evacuated about 136.000 residents of Leylek and Batken districts (coded to Leilek) away from the fighting areas on the disputed border to the towns of Ravat, Sulukta, Kadamjay and other villages in the Batken region following border shooting between Kyrgyz and Tajik troops.",0,,1663703412,2022-09-01
KGZ1685,2022-09-16,2022,1,Political violence,Battles,Armed clash,Police Forces of Kyrgyzstan (2021-) Kyrgyz Frontier Force,,State forces,Military Forces of Tajikistan (1994-) Border Service,,External/Other forces,State forces-External/Other forces,,417,Caucasus and Central Asia,Kyrgyzstan,Batken,Leylek,,Kulundu,40.1069,69.6393,1,AKIpress; BBC News; RFE/RL,National-International,"On 16 September 2022, a firefight broke out between Kyrgyz and Tajik border troops in Kulundu locality of Leylek district in Batken region. During the day, 59 people, both civilians and border guards, were killed and 144 were wounded on the Kyrgyz side (59 fatalities split among 9 events).",7,,1753954518,2022-09-01
TJK147,2022-09-16,2022,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Kyrgyzstan (2021-),,External/Other forces,Civilians (Tajikistan),,Civilians,External/Other forces-Civilians,Civilian targeting,762,Caucasus and Central Asia,Tajikistan,Sughd,B Gafurov,,Ovchi Kalacha,40.1267,69.6779,1,Asiaplus; BBC News,Regional-International,"On 16 September 2022, Kyrgyz military fired artillery round using military helicopters and attack drones in the settlements in Tajikistan territory in Ovchi Kalacha of B Gafurov districts. 12 civilians were killed.",12,,1753956103,2022-09-01
